Turma;Idade;Sexo;Orientação;Religião;Presenciou Bullyng;Meio de transporte;Tempo de locomoção;Passe Escolar;Dificuldade de chegar no Horário;Quem te acorda?;Renda Mensal;Programa Social;Situação Conjugal;Moradia;Escolaridade do Responsável;Situação Alimentar;Ocupação do responsável;Importância do Estudo;Horas de estudo diária;Português;Inglês;Espanhol;Artes;Educação Física;História;Geografia;Sociologia;Filosofia;Matemática;Física;Química;Biologia;Após o horário de aula;Livros por ano;Em relação a pergunta anterior, os livros que você lê são;Ensino Fundamental
3º B;16;Masculino;Heterossexual;Católica ;Não;Bicicleta;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não sei;Vivem juntos;Própria;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Possui o próprio negócio;9;Uma hora;8;7;6;8;10;8;8;7;7;9;8;7;7;Arrumar a casa, Olhar os meus irmãos, Fazer atividade Física;Três;Mangás ;Ecovam
3º A;17;Feminino;;;Não;Moto;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;6;Uma hora;5;8;4;5;5;6;8;8;8;9;7;7;8;Arrumar a casa;Nenhum;Os indicados na escola;Araújo Lima
2º A;16;Neutro;Bissexual;Evangélica ;Sim;Carro próprio;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem juntos;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Trabalha ocasionalmente;5;Não estudo em casa.;5;8;5;7;9;7;7;6;5;7;4;4;5;Arrumar a casa, Fazer atividade Física, Somente Lazer;Três;Os indicados na escola, Livros literários de minha preferência;São Damiano
1º B;15;Masculino;Heterossexual;Agnóstico ;Não ;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não sei;Vivem separados;Alugada;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Possui o próprio negócio;9;Uma hora;8;7;5;10;7;7;8;5;5;9;9;5;5;Arrumar a casa;Um;Os indicados na escola;Araújo Lima
1º C;14;Feminino;Heterossexual;Cristão;Não ;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem separados;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Duas horas;8;9;1;9;8;8;9;3;4;6;6;5;7;Arrumar a casa, Estudar, Fazer atividade Física, Somente Lazer;Cinco ou mais;Livros literários de minha preferência, Livros religiosos, Livros científicos;Ecovam
3º A;16;Feminino;Heterossexual;Católica ;Não ;A Pé;De 10 a 20 minutos;Não;As vezes;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Uma hora;8;6;7;9;8;9;8;8;8;5;5;5;8;Arrumar a casa;Dois;Os indicados na escola;Presidente Arthur
1º C;15;Feminino;;;Não ;Carro próprio;De 10 a 20 minutos;Não;Não;O seu responsável te acorda;De 2000 a 3000 reais;Não;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Menos de 1 hora;8;9;9;10;7;10;8;10;10;7;7;8;7;Arrumar a casa, Estudar, Fazer atividade Física;Cinco ou mais;Os indicados na escola, Livros literários de minha preferência, Auto-Ajuda;Ecovam
1º A;15;Feminino;Heterossexual;Evangélica ;Não ;Carro próprio;Até 10 minutos;Não;Não;Você acorda sozinho;De 3000 a 5000 reais;Não sei;Vivem juntos;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;;8;Uma hora;7;6;1;9;9;4;5;3;5;4;4;7;8;Arrumar a casa, Estudar, Fazer atividade Física;Três;Os indicados na escola, Livros religiosos, Romance;Ecovam
2º B;17;Masculino;;;Não ;Carro próprio;Até 10 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Não sei;Vivem juntos;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Está desempregado;10;Não estudo em casa.;6;3;3;5;10;4;4;4;3;6;3;3;3;Arrumar a casa, Fazer atividade Física;Nenhum;Nenhum;Marieta Telles
2º C;15;Feminino;;Evangélica ;Não ;Carro próprio;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;10;Não estudo em casa.;7;4;5;7;5;3;3;3;3;10;8;8;6;Arrumar a casa, Olhar os meus irmãos;Dois;Nenhum;Ecovam
3º B;18;Masculino;Heterossexual ;Não tem;Não ;A Pé;De 10 a 20 minutos;Sim;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Menos de 1 hora;10;7;9;10;10;8;8;10;10;7;7;9;8;Fazer atividade Física;Um;Os indicados na escola, Livros literários de minha preferência;Ecovam
1º B;15;Feminino;Heterossexual ;Católica ;Não ;Carro próprio;De 20 a 30 minutos;Não;As vezes;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem juntos;Própria;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;4;Não estudo em casa.;7;4;0;8;9;8;7;4;5;7;4;4;5;Trabalho, Arrumar a casa, Estudar;Cinco ou mais;Livros literários de minha preferência;Presidente Arthur
1º C;15;Feminino;Heterossexual ;Cristão;Não ;Carro próprio;Até 10 minutos;Sim;Não;O seu responsável te acorda;De 3000 a 5000 reais;Não;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Menos de 1 hora;9;7;6;10;7;9;8;7;10;6;7;9;10;Arrumar a casa, Olhar os meus irmãos, Estudar, Somente Lazer;Cinco ou mais;Livros literários de minha preferência;Presidente Arthur
2º B;15;Feminino;Bissexual;Espirita ;Não ;Moto;De 10 a 20 minutos;Não;As vezes;O seu responsável te acorda;De 1000 a 2000 reais;Sim;Vivem separados;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;10;Menos de 1 hora;4;1;0;4;10;5;6;7;5;2;1;0;3;Arrumar a casa, Olhar os meus irmãos, Estudar, Somente Lazer;Nenhum;Nenhum;Ecovam
2º C;16;Masculino;Heterossexual;Cristão ;Não ;Transporte coletivo;De 10 a 20 minutos;Sim;Não;Você acorda sozinho;Até 1000 reais;Não;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha ocasionalmente;9;Não estudo em casa.;8;7;0;7;9;7;7;7;7;7;7;7;7;Arrumar a casa, Olhar os meus irmãos, Estudar, Fazer atividade Física;Um;Os indicados na escola;Araújo Lima
1º C;15;Feminino;Heterossexual;Evangélica ;Não ;A Pé;Até 10 minutos;Sim;Não;Você acorda sozinho;De 1000 a 2000 reais;Sim;Vivem juntos;Alugada;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Menos de 1 hora;7;6;4;8;9;7;7;5;6;7;6;6;7;Arrumar a casa;Dois;Livros literários de minha preferência, Livros religiosos;Nazir Safatle
3º B;17;Feminino;Heterossexual;Cristão;Sim;Carro próprio;De 10 a 20 minutos;Sim;Sim;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;10;Três horas;10;5;10;8;7;8;7;7;7;5;7;5;9;Arrumar a casa, Olhar os meus irmãos, Estudar;Cinco ou mais;Livros literários de minha preferência;Araújo Lima
1º A;15;Feminino;Heterossexual;Católica ;Não;A Pé;De 10 a 20 minutos;Não;Não;O seu responsável te acorda;De 2000 a 3000 reais;Não sei;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;10;Uma hora;7;5;0;10;7;7;9;9;7;7;7;7;8;Arrumar a casa;Nenhum;Nenhum;Ecovam
3º B;17;Feminino;Heterossexual;Evangélica;Sim ;Carro próprio;De 10 a 20 minutos;Sim;Sim;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem juntos;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;10;Duas horas;8;3;6;7;7;8;7;6;6;5;5;5;6;Arrumar a casa, Estudar;Quatro;Livros literários de minha preferência;Araújo Lima
2º B;16;Feminino;Heterossexual;Evangélica ;Não ;Carro próprio;Até 10 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Menos de 1 hora;7;3;5;8;9;7;7;8;7;6;7;6;6;Estudar;Um;Os indicados na escola;Instituto San Damiano 
1º A;14;Feminino;Bissexual;;Não ;Carona;Até 10 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Não sei;Vivem juntos;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;7;Não estudo em casa.;5;6;7;8;10;6;6;5;4;3;6;6;7;Somente Lazer;Cinco ou mais;Livros literários de minha preferência;Ecovam
1º C;15;Feminino;Bissexual;;Não ;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não;Vivem juntos;Alugada;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Não estudo em casa.;9;8;8;10;9;8;8;9;10;5;8;8;8;Arrumar a casa, Olhar os meus irmãos, Fazer atividade Física;Cinco ou mais;Livros literários de minha preferência;Colégio Estadual João da Costa Carvalho
3º B;16;Masculino;Heterossexual;Evangélica;Não ;Carro próprio;Até 10 minutos;Sim;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Possui o próprio negócio;9;Não estudo em casa.;4;3;2;5;9;2;6;2;1;1;2;1;4;Trabalho, Arrumar a casa;Um;Livros literários de minha preferência;instituto san damiano
1º A;16;Feminino;Heterossexual;Não tem;Não ;Transporte coletivo;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Uma hora;10;8;0;10;10;10;10;10;10;2;1;4;2;Trabalho, Arrumar a casa, Estudar;Cinco ou mais;Livros literários de minha preferência;São Damiano
1º A;15;Feminino;Heterossexual;Cristão;Não ;Carro próprio;Até 10 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Duas horas;4;8;3;9;10;9;6;6;4;5;5;4;4;Arrumar a casa, Olhar os meus irmãos, Fazer atividade Física;Cinco ou mais;Livros literários de minha preferência;Ecovam
2º B;16;Masculino;;;Sim;A Pé;De 20 a 30 minutos;Não;As vezes;Você acorda sozinho;De 2000 a 3000 reais;Não sei;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Duas horas;8;7;7;8;10;9;8;9;9;10;8;4;10;Arrumar a casa;Quatro;Os indicados na escola;Presidente Arthur
1º C;15;Feminino;;;Não ;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Cedida;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Não estudo em casa.;5;0;0;7;10;5;4;4;5;0;1;2;5;Arrumar a casa, Olhar os meus irmãos, Estudar;Quatro;Livros literários de minha preferência;E.M. Professora Amelia
3º A;17;Feminino;Bissexual;;;A Pé;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Não estudo em casa.;9;10;3;7;3;8;9;10;6;8;7;3;3;Arrumar a casa;Nenhum;Nenhum;cepmg gilvam sampaio
2º B;16;Feminino;;;;Carro próprio;Até 10 minutos;Sim;Sim;O seu responsável te acorda;De 2000 a 3000 reais;Não sei;Vivem juntos;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Possui o próprio negócio;7;Uma hora;8;7;9;8;10;6;7;10;9;2;1;2;7;Arrumar a casa, Olhar os meus irmãos, Somente Lazer;Cinco ou mais;Livros literários de minha preferência;Presidente Arthur
1º A;14;Feminino;Heterossexual;;Não;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não sei;Vivem separados;Alugada;Pós Graduação;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Três horas;9;10;4;8;10;10;10;8;10;1;8;2;9;Arrumar a casa, Estudar;Cinco ou mais;Livros literários de minha preferência, Auto-Ajuda;Ecovam
1º A;15;Feminino;Bissexual;Não tem;Não;Van escolar;De 30 minutos a uma hora;Não;Não;Você acorda sozinho;Até 1000 reais;Sim;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Menos de 1 hora;6;8;0;6;8;7;5;7;0;1;4;4;3;Estudar, Somente Lazer;Cinco ou mais;Livros literários de minha preferência;Marieta Telles
3º B;17;Feminino;Bissexual;Umbandista;Não;A Pé;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;;10;Duas horas;7;7;5;6;7;8;7;7;7;9;9;9;7;Arrumar a casa, Estudar, Fazer atividade Física;Cinco ou mais;Livros literários de minha preferência;Ecovam
1º B;15;Feminino;Heterossexual;Evangélica ;Não;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Não;Vivem separados;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Uma hora;7;7;6;8;8;8;8;7;7;6;7;7;7;Arrumar a casa;Um;Livros literários de minha preferência;Presidente Arthur
2º A;17;Feminino;Heterossexual;Evangélica ;Não;Transporte coletivo;De 10 a 20 minutos;Sim;Sim;Você acorda sozinho;De 3000 a 5000 reais;Não;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Cinco horas;7;6;5;10;10;6;7;5;8;9;5;6;7;Arrumar a casa, Fazer atividade Física, Somente Lazer;Cinco ou mais;Livros literários de minha preferência, Livros religiosos, Livros científicos, Auto-Ajuda, Fantasia, romance ;Alexandre garcia carreira 
1º A;15;Feminino;Heterossexual;Evangélica ;Não;Carro próprio;Até 10 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Não sei;Vivem juntos;Própria;Pós Graduação;Todos os dias temos ao menos 3 refeições;Trabalha ocasionalmente;10;Não estudo em casa.;2;1;0;8;8;6;9;0;0;2;0;0;0;Arrumar a casa;Nenhum;Nenhum;Ecovam
3º B;17;Feminino;Heterossexual ;;Sim;Transporte coletivo;Mais de uma hora;Sim;Não;Você acorda sozinho;De 1000 a 2000 reais;Sim;Vivem juntos;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Três horas;8;7;9;8;10;8;9;7;6;10;8;8;9;Arrumar a casa, Olhar os meus irmãos, Estudar;Cinco ou mais;Os indicados na escola, Livros literários de minha preferência;Ecovam
1º A;15;Prefiro não responder;Pansexual;Bruxaria Natural;Não;Bicicleta;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 5000 a 10000 reais;Não;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Duas horas;9;10;4;10;10;9;10;5;7;4;8;9;9;Trabalho, Arrumar a casa, Olhar os meus irmãos, Estudar, Fazer atividade Física;Cinco ou mais;Livros literários de minha preferência;Ecovam
1º C;15;Masculino;;Católica ;Não;A Pé;Até 10 minutos;Não;Não;O seu responsável te acorda;De 2000 a 3000 reais;Não sei;Vivem juntos;Própria;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Menos de 1 hora;9;4;0;7;9;8;8;6;5;6;6;6;7;Somente Lazer;Um;Os indicados na escola, Nenhum;Ecovam
1º A;15;Feminino;Bissexual;Judeu;Não;Carro próprio;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Possui o próprio negócio;9;Menos de 1 hora;8;7;5;10;10;7;7;4;4;8;5;5;5;Arrumar a casa, Olhar os meus irmãos, Estudar;Nenhum;Nenhum;Marieta Telles
2º B;15;Feminino;;Católica ;Não;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Sim;Vivem separados;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Menos de 1 hora;7;2;1;7;9;7;8;8;5;7;5;4;7;Arrumar a casa;Dois;Livros literários de minha preferência;Ecovam
1º B;15;Feminino;Heterossexual;Evangélica;Não;Transporte coletivo;De 10 a 20 minutos;Sim;As vezes;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;5;Não estudo em casa.;5;7;0;7;6;5;4;5;5;5;6;7;6;Arrumar a casa;Cinco ou mais;Livros literários de minha preferência;Presidente Arthur
2º C;16;Feminino;Heterossexual;Cristão;Não;Carona;Até 10 minutos;Sim;Não;Você acorda sozinho;De 1000 a 2000 reais;Sim;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;4;Uma hora;9;2;7;8;6;9;6;9;9;1;8;4;3;Arrumar a casa;Cinco ou mais;Livros literários de minha preferência;Marieta Telles
1º A;15;Masculino;Heterossexual;Evangélica;Não;Carro próprio;Até 10 minutos;Não;Não;Você acorda sozinho;De 3000 a 5000 reais;Não sei;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Possui o próprio negócio;7;Não estudo em casa.;6;6;2;5;3;6;6;4;5;6;6;5;5;Somente Lazer;Três;Os indicados na escola;Araújo Lima
2º C;16;Feminino;Bissexual;Cristão;Não;Transporte coletivo;De 10 a 20 minutos;Sim;As vezes;Você acorda sozinho;Até 1000 reais;Não;Não conhece pai ou mãe;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Está desempregado;7;Menos de 1 hora;8;9;5;3;9;7;10;1;5;0;1;9;10;Somente Lazer;Cinco ou mais;Livros literários de minha preferência;Ecovam
1º C;15;Feminino;Bissexual;Espirita;Não;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 5000 a 10000 reais;Sim;Pai ou Mãe falecido;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Não estudo em casa.;6;6;0;7;6;8;8;6;8;7;7;7;7;Olhar os meus irmãos;Dois;Livros literários de minha preferência;Colégio estadual Damores do Amaral Medeiros 
1º C;15;Masculino;Heterossexual;Católica ;Não;A Pé;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem separados;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Não estudo em casa.;8;5;5;9;10;8;7;7;8;8;7;6;6;Arrumar a casa, Fazer atividade Física;Dois;Livros literários de minha preferência;Presidente Arthur
2º B;15;Feminino;Bissexual;Evangélica ;Sim;A Pé;De 20 a 30 minutos;Sim;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Uma hora;6;3;1;7;9;7;7;7;8;3;6;4;7;Arrumar a casa;Quatro;Os indicados na escola, Livros literários de minha preferência;Jalles Machado
1º C;18;Masculino;Heterossexual;;;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;7;Não estudo em casa.;7;5;3;4;10;8;4;7;7;8;6;7;7;Arrumar a casa;Nenhum;Nenhum;Floripes
2º B;16;Feminino;Heterossexual;;Não;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem separados;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Possui o próprio negócio;8;Não estudo em casa.;8;7;6;9;9;9;9;9;8;7;5;6;7;Arrumar a casa;Um;Os indicados na escola;Cepi santa cruz
1º C;15;Masculino;Heterossexual;Evangélica ;Não;Bicicleta;Até 10 minutos;Não;Não;Você acorda sozinho;De 3000 a 5000 reais;Não;Pai ou Mãe falecido;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Não estudo em casa.;8;4;2;8;8;8;7;6;8;10;9;8;8;Arrumar a casa, Estudar;Quatro;Educação financeira ;E.M. Professora Amelia
1º B;15;Feminino;Bissexual ;Não tem;Não;A Pé;De 20 a 30 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Não;Vivem separados;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Não estudo em casa.;5;0;0;3;9;10;9;5;6;4;4;4;4;Trabalho;Cinco ou mais;Livros literários de minha preferência;Presidente Arthur
2º B;16;Feminino;Heterossexual;Católica ;Não;A Pé;De 10 a 20 minutos;Sim;Não;Você acorda sozinho;De 1000 a 2000 reais;Sim;Vivem separados;Própria;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Uma hora;6;3;4;5;9;7;6;7;6;4;5;5;6;Arrumar a casa;Um;Os indicados na escola;Ecovam
1º A;16;Masculino;Heterossexual;Evangélica ;Não;Transporte coletivo;De 10 a 20 minutos;Não;Não;O seu responsável te acorda;De 2000 a 3000 reais;Não sei;Vivem juntos;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Menos de 1 hora;8;5;6;6;10;5;7;5;5;6;8;8;7;Fazer atividade Física;Um;Nenhum;Camélia costa viveiros 
