Turma;Idade;Sexo;Orientação;Religião;Presenciou Bullyng;Meio de transporte;Tempo de locomoção;Passe Escolar;Dificuldade de chegar no Horário;Quem te acorda?;Renda Mensal;Programa Social;Situação Conjugal;Moradia;Escolaridade do Responsável;Situação Alimentar;Ocupação do responsável;Importância do Estudo;Horas de estudo diária;Português;Inglês;Espanhol;Artes;Educação Física;História;Geografia;Sociologia;Filosofia;Matemática;Física;Química;Biologia;Após o horário de aula;Livros por ano;Em relação a pergunta anterior, os livros que você lê são;Ensino Fundamental
3º B;16;Feminino;Heterossexual;Cristão;Sim;A Pé;De 10 a 20 minutos;Não;Não;O seu responsável te acorda;De 1000 a 2000 reais;Sim;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;9;Uma hora;8;10;10;10;8;8;10;7;6;10;7;6;10;Arrumar a casa, Olhar os meus irmãos, Estudar, Fazer atividade Física;Dois;Os indicados na escola, Livros religiosos, Livros científicos;Ecovam
1º C;15;Feminino;;;Não ;Carro próprio;Até 10 minutos;Não;As vezes;O seu responsável te acorda;Até 1000 reais;Sim;Vivem juntos;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha ocasionalmente;4;Não estudo em casa.;5;1;0;5;5;5;5;5;5;1;5;5;5;Ajudar meus pais no trabalho ;Nenhum;Nenhum;Ecovam
1º C;15;Masculino;Bissexual;Ateu;Não ;A Pé;De 20 a 30 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Alugada;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Menos de 1 hora;7;2;5;8;10;7;7;8;5;0;5;6;7;Somente Lazer;Cinco ou mais;Livros literários de minha preferência;Artur da Costa é Silva 
1º B;15;Masculino;Heterossexual;Evangélica;Não ;Carro próprio;Até 10 minutos;Não;Não;O seu responsável te acorda;De 2000 a 3000 reais;Sim;Vivem juntos;Alugada;Pós Graduação;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Uma hora;8;5;3;8;10;7;8;8;6;4;4;5;7;Fazer atividade Física;Dois;Livros literários de minha preferência;Colegio Reis Magos, Bacabal-Ma
1º C;15;Feminino;Pansexual ;;Não ;A Pé;Até 10 minutos;Não;Não;O seu responsável te acorda;De 1000 a 2000 reais;Não;Pai ou Mãe falecido;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Não estudo em casa.;9;10;8;10;3;5;7;7;10;5;5;5;7;Arrumar a casa, Somente Lazer;Cinco ou mais;Livros literários de minha preferência;Presidente Arthur
2º A;16;Feminino;Heterossexual;Católica ;Não ;Carros por aplicativo;Até 10 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;9;Menos de 1 hora;8;9;8;8;8;10;9;10;8;10;8;8;9;Arrumar a casa, Estudar, Fazer atividade Física;Cinco ou mais;Livros literários de minha preferência;Escola magia dos sonhos 
3º A;17;Masculino;Gay ;Estiritismo;Não ;Carona;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não sei;Vivem juntos;Própria;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;8;Uma hora;5;6;5;10;6;5;5;6;5;4;5;5;5;Arrumar a casa;Dois;Os indicados na escola, Livros literários de minha preferência;Marieta Telles
2º C;16;Feminino;Heterossexual;Cristã ;Não ;Transporte coletivo;De 30 minutos a uma hora;Sim;As vezes;Você acorda sozinho;Até 1000 reais;Sim;Vivem separados;Própria;Não estudou;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;6;Menos de 1 hora;6;5;8;7;6;6;6;6;7;5;5;6;7;Igreja, célula, curso ;Um;Livros religiosos;Marieta Telles
1º A;15;Feminino;Heterossexual;Adventista;Não ;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 3000 a 5000 reais;Não;Vivem juntos;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha ocasionalmente;8;Não estudo em casa.;6;5;3;5;6;6;6;5;5;6;6;6;6;Arrumar a casa, Fazer atividade Física, Somente Lazer;Cinco ou mais;Livros literários de minha preferência;Araújo Lima
2º B;17;Feminino;Pansexual;Evangélica;Não ;A Pé;Até 10 minutos;Sim;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Uma hora;7;5;7;8;5;5;6;6;5;6;6;3;6;Arrumar a casa, Estudar;Dois;365 dias etc;Pedro Neca 
1º C;14;Feminino;Heterossexual;Adventista ;Não ;Carro próprio;De 20 a 30 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não;Vivem juntos;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Uma hora;8;8;7;10;8;8;8;7;7;8;6;6;7;Arrumar a casa, Estudar, Fazer atividade Física;Cinco ou mais;Livros literários de minha preferência;Marieta Telles
1º C;15;Feminino;Heterossexual;Evangélica;Não ;A Pé;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Não estudo em casa.;8;6;6;10;10;7;7;7;9;7;7;7;8;Arrumar a casa;Cinco ou mais;Livros literários de minha preferência;Presidente Arthur
1º A;14;Masculino;Bissexual;Cristão;Não ;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Uma hora;5;6;0;5;6;8;9;7;7;4;5;6;7;Arrumar a casa, Olhar os meus irmãos;Cinco ou mais;Livros literários de minha preferência;Ecovam
1º B;15;Masculino;Heterossexual ;Católica ;Não ;Carona;Até 10 minutos;Não;As vezes;Você acorda sozinho;De 5000 a 10000 reais;Não;Vivem juntos;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Não estudo em casa.;4;4;5;4;7;5;5;5;5;6;5;5;5;Fazer atividade Física;Nenhum;Nenhum;São Damiano
1º A;15;Feminino;Heterossexual ;Cristão;Não ;Transporte coletivo;Até 10 minutos;Não;As vezes;O seu responsável te acorda;Até 1000 reais;Não;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Menos de 1 hora;5;2;0;7;10;8;6;2;1;0;1;4;5;Trabalho;Nenhum;Nenhum;Marieta Telles
2º C;16;Masculino;Heterossexual ;;;Carro próprio;Até 10 minutos;Sim;Não;Você acorda sozinho;De 3000 a 5000 reais;Não;Vivem separados;Própria;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;8;Uma hora;8;8;5;8;10;10;10;10;8;10;5;3;8;Trabalho, Arrumar a casa, Olhar os meus irmãos, Estudar, Fazer atividade Física;Três;Auto-Ajuda;.
1º A;15;Masculino;Heterossexual ;Cristão;;Carona;Até 10 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Não;Vivem juntos;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;6;Uma hora;5;3;4;5;3;4;5;4;4;2;1;3;5;Arrumar a casa;Nenhum;Os indicados na escola;Jalles Machado
1º A;14;Feminino;Heterossexual ;Evangélica;Não;Transporte coletivo;De 10 a 20 minutos;Não;As vezes;Você acorda sozinho;De 1000 a 2000 reais;Sim;Vivem juntos;Própria;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Está desempregado;10;Menos de 1 hora;5;8;2;7;9;7;7;0;0;8;0;0;0;Arrumar a casa;Um;Os indicados na escola;Marieta Telles
1º C;14;Feminino;Heterossexual ;Evangélica ;Não;Carona;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Sim;Vivem juntos;Cedida;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;8;Menos de 1 hora;7;8;7;8;5;7;7;8;8;8;8;8;8;Arrumar a casa;Três;Wattpad ;Marieta Telles
2º C;15;Feminino;Heterossexual ;Católica ;Sim;A Pé;Até 10 minutos;Sim;As vezes;O seu responsável te acorda;De 1000 a 2000 reais;Sim;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha ocasionalmente;9;Uma hora;8;7;6;9;10;7;8;7;8;9;7;5;6;Arrumar a casa, Olhar os meus irmãos, Estudar;Um;Livros literários de minha preferência;Ecovam
1º A;15;Feminino;Heterossexual ;Evangélica ;Não ;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Não;Vivem separados;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Uma hora;8;0;0;5;6;5;5;6;5;0;4;3;3;Arrumar a casa, Olhar os meus irmãos;Nenhum;Nenhum;Ecovam
1º A;15;Feminino;Heterossexual ;Evangélica ;Não ;Transporte coletivo;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Não estudo em casa.;4;4;2;6;10;8;8;5;5;6;5;5;5;Arrumar a casa;Um;Livros religiosos;Marieta Telles
2º B;16;Masculino;Heterossexual ;Não tem;Sim;A Pé;De 10 a 20 minutos;Não;As vezes;Você acorda sozinho;De 2000 a 3000 reais;Sim;Vivem separados;Cedida;Pós Graduação;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Não estudo em casa.;8;6;10;9;10;10;6;7;7;2;3;6;9;Arrumar a casa, Fazer atividade Física;Quatro;Livros literários de minha preferência, Auto-Ajuda;Araújo Lima
1º B;14;Feminino;Heterossexual ;Evangélica;Não;Carro próprio;Até 10 minutos;Não;Não;O seu responsável te acorda;De 2000 a 3000 reais;Não;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Uma hora;7;9;5;4;5;9;6;5;6;1;1;1;3;Trabalho, Arrumar a casa, Fazer atividade Física, Somente Lazer;Dois;Os indicados na escola;Araújo Lima
2º C;16;Masculino;Heterossexual;Católica ;Não;Transporte coletivo;De 10 a 20 minutos;Sim;As vezes;Você acorda sozinho;De 2000 a 3000 reais;Não sei;Vivem separados;Própria;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;5;Não estudo em casa.;5;3;0;6;10;6;7;6;8;6;5;6;8;Fazer atividade Física;Nenhum;Nenhum;CEPMG - HUGO DE CARVALHO RAMOS
2º B;15;Feminino;Heterossexual;Cristão;Não;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem separados;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Possui o próprio negócio;10;Menos de 1 hora;7;5;0;9;7;6;6;6;9;4;6;5;6;Arrumar a casa, Estudar, Ler livros literários, ver filmes/ séries ;Cinco ou mais;Os indicados na escola, Livros literários de minha preferência, Livros científicos, Auto-Ajuda;Cepi Spl 
2º C;16;Feminino;Sem Definição;Cristão;Sim;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem juntos;Própria;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;8;Menos de 1 hora;8;5;0;8;10;9;8;9;9;7;5;5;8;Arrumar a casa, Olhar os meus irmãos, Estudar, Fazer atividade Física;Cinco ou mais;Os indicados na escola, Livros literários de minha preferência, Auto-Ajuda;Ecovam
2º A;17;Masculino;Heterossexual;Não tem;Não;A Pé;Até 10 minutos;Não;As vezes;Você acorda sozinho;Até 1000 reais;Não sei;Vivem separados;Alugada;Pós Graduação;Todos os dias temos ao menos 3 refeições;Trabalha ocasionalmente;8;Duas horas;6;10;4;6;10;6;7;6;6;6;8;6;6;Estudar;Cinco ou mais;Livros literários de minha preferência;Araújo Lima
2º A;15;Feminino;Bissexual;Não tem;Sim;A Pé;De 10 a 20 minutos;Sim;Não;Você acorda sozinho;Até 1000 reais;Sim;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Está desempregado;7;Menos de 1 hora;4;3;2;10;5;4;5;4;3;5;3;3;3;Estudar, Fazer atividade Física;Três;Livros literários de minha preferência;Ecovam
2º C;15;Masculino;Heterossexual;Católica ;Não ;Bicicleta;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem juntos;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;7;Não estudo em casa.;6;4;8;9;10;6;8;9;5;5;5;3;8;Somente Lazer;Quatro;Os indicados na escola;Ecovam
3º B;17;Feminino;Bissexual;Umbanda ;Não ;Carro próprio;De 10 a 20 minutos;Sim;As vezes;Você acorda sozinho;Até 1000 reais;Não;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Quatro horas;5;5;8;10;10;8;8;10;7;5;7;6;8;Arrumar a casa, Estudar, Fazer atividade Física;Dois;Os indicados na escola, Livros literários de minha preferência;Village Garavelo 
1º A;15;Feminino;Heterossexual;Católica ;Não ;Transporte coletivo;Até 10 minutos;Não;As vezes;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Menos de 1 hora;5;4;7;5;7;5;5;0;0;7;0;0;0;Arrumar a casa;Nenhum;Nenhum;Marieta Telles
1º B;15;Masculino;Heterossexual;Cristão;Não ;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem juntos;Própria;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Uma hora;5;5;5;7;10;6;4;6;7;8;7;6;9;Arrumar a casa;Nenhum;Os indicados na escola;Presidente Arthur
3º B;17;Masculino;Heterossexual;Evangélica;Não ;A Pé;De 30 minutos a uma hora;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Própria;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;5;Menos de 1 hora;1;2;3;7;9;4;5;4;6;8;3;4;5;Arrumar a casa, Fazer atividade Física;Três;Livros literários de minha preferência;Ecovam
3º B;16;Feminino;;;Não ;Transporte coletivo;De 30 minutos a uma hora;Sim;As vezes;Você acorda sozinho;De 2000 a 3000 reais;Sim;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Menos de 1 hora;9;6;8;10;9;9;7;7;6;4;4;4;6;Arrumar a casa, Olhar os meus irmãos, Estudar;Cinco ou mais;Livros literários de minha preferência;Presidente Arthur
1º B;15;Masculino;Heterossexual;Católica ;Não ;A Pé;Até 10 minutos;Não;Não;O seu responsável te acorda;De 2000 a 3000 reais;Não;Vivem juntos;Própria;Pós Graduação;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Não estudo em casa.;7;9;7;6;2;4;8;8;8;9;7;7;9;Arrumar a casa;Dois;Os indicados na escola, Livros literários de minha preferência;Presidente Arthur
2º A;16;Feminino;;Católica ;Não ;Carro próprio;Até 10 minutos;Não;Não;O seu responsável te acorda;Até 1000 reais;Não;Vivem juntos;Alugada;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Trabalha ocasionalmente;9;Uma hora;7;9;0;10;5;5;6;9;9;10;5;1;10;Arrumar a casa, Olhar os meus irmãos, Somente Lazer;Dois;Os indicados na escola, Livros literários de minha preferência;E.M. Professora Amelia
2º B;17;Feminino;Bissexual;Umbanda ;Não ;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Não;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Menos de 1 hora;7;5;9;4;10;7;7;5;3;5;5;5;6;Arrumar a casa;Nenhum;romantico;estadual onofre quinan
2º B;17;Feminino;Heterossexual;Evangélica ;Não ;A Pé;De 20 a 30 minutos;Não;Sim;O seu responsável te acorda;Até 1000 reais;Não sei;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Está desempregado;7;Não estudo em casa.;8;6;2;8;10;10;6;3;2;1;1;1;2;Arrumar a casa;Um;Os indicados na escola;Marieta Telles
1º B;15;Feminino;;Não tem;Não ;A Pé;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem juntos;Alugada;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Uma hora;8;4;4;5;6;7;7;6;8;4;7;7;7;Somente Lazer;Nenhum;Nenhum;Jalles Machado
1º C;15;Masculino;Mulher ;Espirita;Não ;Bicicleta;De 10 a 20 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Sim;Vivem separados;Alugada;Pós Graduação;Todos os dias temos ao menos 3 refeições;Está desempregado;9;Uma hora;7;5;3;8;10;8;7;6;6;10;5;7;7;Arrumar a casa;Cinco ou mais;Manga;Presidente Arthur
1º C;14;Prefiro não responder;;Católica ;Não ;Moto;De 10 a 20 minutos;Não;As vezes;O seu responsável te acorda;De 1000 a 2000 reais;Não sei;Vivem juntos;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Menos de 1 hora;8;5;5;8;6;6;5;4;5;4;3;3;5;Estudar, Somente Lazer, As vezes ajudo minha mãe ;Cinco ou mais;Indicados pela escola ou por conta própria que eu goste ;Marieta Telles
1º C;16;Prefiro não responder;Heterossexual;;Não ;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Sim;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Menos de 1 hora;0;0;0;0;0;0;0;0;0;0;0;0;0;Arrumar a casa;Dois;Livros literários de minha preferência;Jalles Machado
2º C;16;Feminino;;;Não ;Moto.;Até 10 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Sim;Vivem separados;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;10;Uma hora;9;7;9;9;8;8;8;10;8;9;9;8;8;Estudar;Um;Os indicados na escola;Carolina-Ma,escola:Odolfo Medeiros.
3º A;17;Feminino;Bissexual;Cristão;Não ;A Pé;Até 10 minutos;Não;As vezes;Você acorda sozinho;De 2000 a 3000 reais;Não;Pai ou Mãe falecido;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Não estudo em casa.;8;6;5;9;9;8;8;8;7;4;3;3;9;Fazer atividade Física;Um;Auto-Ajuda;laurentino martins rodrigues
1º A;15;Feminino;Heterossexual;Evangélica;Não ;A Pé;De 10 a 20 minutos;Não;As vezes;Você acorda sozinho;Até 1000 reais;Não;Não conhece pai ou mãe;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Não estudo em casa.;4;1;0;3;5;5;5;5;2;0;0;0;2;Arrumar a casa;Quatro;Os indicados na escola, Livros literários de minha preferência, Livros religiosos;Presidente Arthur
2º A;16;Masculino;Heterossexual;Evangélica;Sim;Carro próprio;Até 10 minutos;Sim;Não;Você acorda sozinho;De 5000 a 10000 reais;Não;Vivem separados;Própria;Pós Graduação;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Uma hora;10;6;8;5;5;8;5;7;8;8;10;7;5;Arrumar a casa;Três;Os indicados na escola;Presidente Arthur
3º B;17;Masculino;Heterossexual;Cristão;Não;A Pé;Até 10 minutos;Sim;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Pai ou Mãe falecido;Própria;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;5;Menos de 1 hora;5;7;3;5;7;4;4;3;2;6;5;3;5;Arrumar a casa, Somente Lazer;Nenhum;Nenhum;Presidente Arthur
1º C;15;Masculino;Heterossexual;;Não;Bicicleta;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem separados;Própria;Ensino Superior;Tem dias em que temos menos de 3 refeições;Tem emprego fixo;10;Não estudo em casa.;6;9;1;7;8;6;6;5;7;3;2;0;0;Trabalho, Arrumar a casa, Olhar os meus irmãos;Cinco ou mais;Livros literários de minha preferência, Livros científicos, Auto-Ajuda;Presidente Arthur
1º C;15;Masculino;;;;A Pé;De 20 a 30 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Não;Pai ou Mãe falecido;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;;9;Não estudo em casa.;8;1;1;10;9;8;8;7;7;5;4;4;4;Fazer atividade Física;Nenhum;Nenhum;Jalles Machado
1º C;15;Masculino;Heterossexual;Não tem;Não ;A Pé;Até 10 minutos;Não;Não;O seu responsável te acorda;De 1000 a 2000 reais;Não sei;Vivem juntos;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Menos de 1 hora;0;0;0;0;0;0;0;0;0;0;0;0;0;Arrumar a casa, Olhar os meus irmãos, Somente Lazer;Nenhum;Nenhum;Presidente Arthur
2º A;16;Masculino;Heterossexual;;Não ;Carro próprio;Até 10 minutos;Não;Não;Você acorda sozinho;Mais de 10000 reais;Não;Pai ou Mãe falecido;Alugada;Não estudou;Todos os dias temos ao menos 3 refeições;Está desempregado;10;Não estudo em casa.;2;10;4;10;10;7;10;3;10;10;8;10;9;Arrumar a casa;Um;Livros literários de minha preferência;Ecovam
2º C;16;Masculino;Heterossexual;Cristão;Não ;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Não sei;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Não estudo em casa.;5;3;5;6;10;7;4;3;5;7;7;4;4;Olhar os meus irmãos;Um;Os indicados na escola;Presidente Arthur
3º B;17;Feminino;;;Não ;Transporte coletivo;De 10 a 20 minutos;Sim;As vezes;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Cedida;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Duas horas;6;2;4;3;1;5;5;5;2;9;4;0;5;Estudar;Quatro;Os indicados na escola;Presidente Arthur
